T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3	T24_1	T24_2	T24_3
ostta01g00110	11.1163988532535	9.93957297314687	11.7753249390975	10.7972728152678	13.0020527019451	11.1909152955092	25.1214491949331	18.2419930229678	16.3614279896821	14.9886484820532	16.4412201731498	12.978638068844	5.73209321364395	5.48077083260571	5.1777134410328
ostta01g00120	43.6584483837577	40.5928592361143	43.562248176567	47.0593005198355	46.5730960708752	43.6140548885023	35.0316982003801	25.7963484607736	23.0360132745557	30.8877112561179	28.4579523797818	35.8563630239957	58.37759015153	49.9670222403569	50.1450495071512
ostta01g00130	28.2244729332684	30.621068597029	32.7628640818327	40.4377250457738	43.2779686681004	41.2460094588636	58.7170189958407	49.2558548199609	42.3021946616399	42.38750047202	43.0346237005396	40.8897003040622	30.2557237084832	27.6961632401908	26.3843025983672
ostta01g00140	55.0328455810902	61.2881004767681	64.1154048796653	178.897742110403	173.965360959876	172.385578068287	113.530473648984	71.3733883302789	60.7271966706099	78.9114900716151	77.1732403788045	81.5936537236807	108.815584710367	80.2275358897812	76.6554992796992
ostta01g00150	16.0273882804767	19.6180798105566	13.3572349564217	9.44486576057534	10.9037364878593	11.6315754811108	22.5801895904619	29.7282257977495	25.4761345545349	28.8874817489354	27.8645779994944	27.1538515553928	53.3584305115317	61.8758482497082	59.7474766381862
ostta01g00160	33.1828302914944	30.5863727321018	31.7488144575446	29.499359437899	30.3898167312564	31.9592697394741	35.9985524001673	27.1538515553928	35.354923596484	24.6788127941578	25.1214491949331	24.1936385613799	40.0244952054085	40.0566213023551	33.3047882529769
ostta01g00170	25.6107225629137	31.1515039597902	31.3674173886535	31.3674173886535	35.4270881247268	32.9502210273602	38.0162510869344	27.5954062268938	32.7533730190986	34.7011231286543	32.7924171468261	35.9624196847996	68.2318225815772	50.2612720102689	63.6319771935305
ostta01g00180	89.0010280561051	101.805217252331	106.25306207981	118.64372366521	104.934633384021	121.432811475572	115.821963816743	114.520058083323	122.349336531175	238.456169312332	210.689252758306	227.0748531269	135.352503932047	141.857700628468	173.078308984883
ostta01g00190	77.7426070299907	73.5621394579111	69.6491831721202	44.1204058053248	39.0773521875627	35.8792362825301	92.8422796580525	146.147871920834	144.932693042243	142.639796937643	151.754310259349	150.585375851284	270.515798380173	315.713753090677	262.840410135533
ostta01g00200	24.0985741440631	34.327731787322	37.0353186177734	34.927581962076	38.4029420518155	41.1100359284848	58.4199404157045	61.1784806911586	53.7881837715319	47.3319326230617	48.3197504444357	52.5652802171663	100.579113347747	90.8650619009622	100.169975612037
ostta01g00210	71.2849640808967	82.3972923565718	95.2725115829174	130.918028609722	137.127408643248	146.477382275753	134.948486688112	141.717220989468	173.799385823018	200.787525278801	170.29701042146	192.695433695753	97.3428005681874	94.9908307642169	120.000295628595
ostta01g00220	87.4340308504724	88.0160999913959	84.3413936639111	74.6003815817855	79.8753276476353	85.8055212999622	90.4087515441984	106.577621824824	97.8057915825032	103.680352469821	100.503086991172	96.3690210456968	70.8160911474254	67.3906253591614	69.8746787156303
ostta01g00230	30.5578526094543	31.9277561969775	32.2675862495198	27.6220563399275	28.2985156176733	29.4741381776357	28.9794423584255	23.6647256553954	29.3273189454967	37.1771632198944	36.2633404928252	34.1363074598071	21.5670606470956	17.3831217642475	19.3137210086916
ostta01g00240	19.5638219168446	18.7209148084993	13.6876054217402	15.9485469586197	17.6495166171123	12.9478408419742	13.5809131574317	15.7828407758977	14.3174514405333	15.0433590420153	16.1826354368155	15.8353762869778	13.6876054217402	11.9248860300725	12.6002015890261
ostta01g00250	12.2282772132612	16.9791281572481	20.6216040635817	18.2352220077121	18.8893491117053	18.522754284305	20.2749700719906	19.0426016975714	17.298315949447	18.9514819320554	19.541615520911	20.0634852078482	11.7852443600723	7.96105647972169	8.68857807015038
ostta01g00260	0.38045234883917	0.304530917441726	0.365178637652847	0.199014550924919	0.360472460749925	0.40077836106296	0.655477593770172	0.961876697683508	1.10073091419185	0.693470449922691	1.39964691798818	0.97578844418141	16.0529657084646	2.03456269688272	1.36313685107624
ostta01g00270	182.534280671234	190.938483741939	181.822633252303	223.248204890381	212.877493054253	225.031689822291	356.786845602835	259.626243558254	230.273606216942	248.937490231984	236.73332619642	233.328662839332	253.36458252843	188.340294021736	204.394110160566
ostta01g00280	64.7429733230616	60.6481720205572	63.729812286694	48.2058082599931	47.543994745185	41.270957864648	49.5243399202034	59.6107608203986	56.2060365698779	58.2125921501381	58.8130299160878	59.980884736445	33.0164221047195	36.1164915532161	36.5335768765994
ostta01g00290	9.55166166089483	9.0957011589274	22.9457533341239	34.9505778690609	29.5348694454431	40.3761425756893	23.4513387778886	13.3090671719534	15.357991563358	50.6877558992274	34.869217645355	34.2931630001668	17.9535097351392	15.7828407758977	18.7839432363222
