t10C_1	t10C_2	t10C_3	t14C_1	t14C_2	t14C_3	t20C_1	t20C_2	t20C_3	t26C_1	t26C_2	t26C_3
1577.014038	1190.458252	1189.316895	1986.231445	1633.201782	1633.261963	1689.099487	778.664978	649.55603	887.08667	870.597595	993.411011
64.428314	73.308151	54.294918	50.979378	50.644157	50.639378	70.818039	71.933929	79.730003	67.500801	64.375755	59.608391
34.939785	28.562862	26.729954	20.263939	20.392851	20.814325	30.281506	33.222645	33.783947	40.17107	41.165672	41.766819
117.255386	122.197464	134.016327	122.541443	108.351387	110.491539	104.576111	91.335251	86.309074	118.703423	130.289001	123.482552
120.693588	97.770538	112.383652	80.409248	76.502769	85.858337	90.938744	110.393661	104.973457	132.631073	138.860031	160.928986
21.103786	21.263582	22.768562	14.530576	13.255545	13.896489	18.751842	30.107847	31.995707	21.363564	20.170567	19.685375
11.73724	14.831302	11.671928	12.500523	11.371761	7.573196	11.758242	15.627897	9.755903	21.097155	19.195045	17.51277
30.927004	25.807495	26.178076	23.710978	24.547529	26.099339	40.962032	43.860821	39.53376	33.771164	41.185646	39.06723
46.508049	52.096256	51.635582	46.196091	60.989594	61.345585	72.165459	63.585613	63.852589	76.056992	67.087906	67.494377
28.052845	26.756413	29.569704	23.573128	26.179796	24.8291	27.116982	29.956505	28.122662	25.149469	27.096319	25.61495
25.980549	20.225315	31.1509	22.147207	20.912859	22.859253	11.971096	3.289534	5.529114	13.445659	13.678315	16.217012
252.484039	336.804291	361.664276	345.684784	341.825958	349.962738	298.741211	298.366547	325.369171	319.293182	308.568878	264.181122
19.513828	17.414515	15.934387	13.11028	17.152933	14.782831	25.331688	26.66193	20.388838	25.976562	26.765339	21.992252
108.204262	115.693474	124.456024	97.596786	102.018837	99.696785	127.140968	115.48188	109.723648	104.082344	97.151413	87.292641
74.911179	82.059494	83.45179	73.197922	79.405777	84.236526	50.402348	46.939613	58.134148	76.841476	84.312119	90.687111
88.315987	83.2257	83.74276	66.76387	69.592758	77.64682	89.944695	98.086357	100.488976	69.380745	67.290016	76.0047
92.577568	79.138367	82.884537	63.600246	57.136894	55.3559	53.47295	50.96283	45.825996	43.408253	45.391064	39.173088
0	0.027997	0	0	0	0.110522	0.132483	0.212404	0.11665	0	0	0.233546
5.464679	4.063791	4.785566	2.9974	3.005692	3.833691	12.301691	11.259353	9.354572	10.595593	12.322476	9.720937
62.813854	61.438679	51.396133	58.34647	57.376144	59.718567	149.125351	130.884094	92.210587	83.613625	83.594925	85.991882
177.944565	235.130112	428.363068	320.52536	279.609039	428.96582	1085.926147	736.392761	490.965637	676.20929	561.51239	733.319885
32.293858	25.266621	30.264561	33.324806	42.68755	43.950207	41.893822	61.715191	44.457451	43.864914	40.551548	44.718365
31.35704	27.895838	26.126211	20.003485	20.251577	20.836649	25.919949	25.571285	21.303179	25.567846	26.408772	26.217253
31.945932	30.559114	34.485085	15.821282	15.430775	13.716667	23.488317	34.970654	29.770432	44.289516	46.601673	43.95055
123.182152	169.400818	174.173843	293.708618	263.068787	289.411621	157.896896	154.681931	151.62326	259.443909	265.940704	239.063904
26.438791	25.175226	25.552094	12.621961	12.705996	11.704126	14.3238	18.569847	14.647135	20.525805	21.492163	20.056694
71.776825	65.795425	66.342667	64.413246	69.014076	63.767193	68.505981	55.42907	52.893669	76.464005	75.856689	76.584122
182.687103	159.569855	145.065674	109.545647	95.164902	101.58255	89.770508	82.442513	87.211052	66.670639	66.657448	58.804798
40.255619	39.148605	40.474514	32.214031	34.643852	32.391041	38.519211	31.993553	31.532045	38.799095	35.412121	38.959679
15.355838	16.398518	15.725423	16.38475	13.807199	16.612242	22.11758	20.875492	18.982977	21.783279	22.405455	21.16333
16.128983	13.845742	12.046964	12.913952	11.983163	13.594533	19.425472	19.528208	16.819	27.213392	27.627966	27.382856
13.272783	13.936942	16.234531	15.776548	18.131084	17.708248	20.722208	21.366528	16.883316	25.517532	26.0313	20.337423
49.886196	55.581253	55.771938	42.466824	50.85659	50.843521	39.540623	29.91457	32.756504	60.036427	66.50692	53.375988
55.668304	53.479366	48.649517	42.778812	38.690239	41.787086	39.209045	53.060574	48.090294	53.712749	56.271519	55.743626
